Transaction 1: write: ['0xb'], read: ['0x91']
Transaction 2: write: ['0x12', '0x80']

Transaction 3: No data
Transaction 4: write: ['0x42', '0xd']

Transaction 5: write: ['0x42', '0xd']

Transaction 6: write: ['0x42', '0xd']

Transaction 7: write: ['0x42', '0xd']

Transaction 8: write: ['0x42', '0xd']

Transaction 9: write: ['0x42', '0xd']

Transaction 10: write: ['0x42', '0xd']

Transaction 11: write: ['0x42', '0xd']

Transaction 12: write: ['0x42', '0xd']

Transaction 13: write: ['0x42', '0xd']

Transaction 14: write: ['0x42', '0xd']

Transaction 15: write: ['0x42', '0xd']

Transaction 16: write: ['0x42', '0xd']

Transaction 17: write: ['0x42', '0xd']

Transaction 18: write: ['0x42', '0xd']

Transaction 19: write: ['0x42', '0xd']

Transaction 20: write: ['0x42', '0xd']

Transaction 21: write: ['0x42', '0xd']

Transaction 22: write: ['0x42', '0xd']

Transaction 23: write: ['0x42', '0xd']

Transaction 24: write: ['0x42', '0xd']

Transaction 25: write: ['0x42', '0xd']

Transaction 26: write: ['0xc', '0xd6']

Transaction 27: write: ['0x48', '0x44']

Transaction 28: write: ['0x49', '0xd']

Transaction 29: write: ['0x41', '0x43']

Transaction 30: write: ['0x81', '0xff']

Transaction 31: write: ['0x21', '0x67']

Transaction 32: write: ['0x16', '0x3']

Transaction 33: write: ['0x39', '0x80']

Transaction 34: write: ['0x11', '0x0']

Transaction 35: write: ['0x12', '0x0']

Transaction 36: write: ['0x82', '0x3']

Transaction 37: write: ['0xd0', '0x48']

Transaction 38: write: ['0x80', '0x7f']

Transaction 39: write: ['0x3e', '0x30']

Transaction 40: write: ['0x22', '0x0']

Transaction 41: write: ['0x2a', '0x30']

Transaction 42: write: ['0x2b', '0x34']

Transaction 43: write: ['0x2c', '0x0']

Transaction 44: write: ['0x15', '0xa4']

Transaction 45: write: ['0x17', '0x69']

Transaction 46: write: ['0x18', '0xa4']

Transaction 47: write: ['0x19', '0xc']

Transaction 48: write: ['0x1a', '0xf6']

Transaction 49: write: ['0xc8', '0x2']

Transaction 50: write: ['0xc9', '0x80']

Transaction 51: write: ['0xca', '0x1']

Transaction 52: write: ['0xcb', '0xe0']

Transaction 53: write: ['0xcc', '0x2']

Transaction 54: write: ['0xcd', '0x80']

Transaction 55: write: ['0xce', '0x1']

Transaction 56: write: ['0xcf', '0xe0']

Transaction 57: write: ['0x85', '0x10']

Transaction 58: write: ['0x86', '0x0']

Transaction 59: write: ['0x87', '0x1b']

Transaction 60: write: ['0x88', '0xaf']

Transaction 61: write: ['0x89', '0x21']

Transaction 62: write: ['0x8a', '0x20']

Transaction 63: write: ['0x8b', '0x20']

Transaction 64: write: ['0xbb', '0xac']

Transaction 65: write: ['0xbc', '0xae']

Transaction 66: write: ['0xbd', '0x2']

Transaction 67: write: ['0xbe', '0x1f']

Transaction 68: write: ['0xbf', '0x93']

Transaction 69: write: ['0xc0', '0xb1']

Transaction 70: write: ['0xc1', '0x1a']

Transaction 71: write: ['0xb4', '0x6']

Transaction 72: write: ['0xb7', '0x6']

Transaction 73: write: ['0xb8', '0x4']

Transaction 74: write: ['0xb9', '0x0']

Transaction 75: write: ['0xba', '0x4']

Transaction 76: write: ['0x24', '0x80']

Transaction 77: write: ['0x25', '0x70']

Transaction 78: write: ['0x26', '0xa2']

Transaction 79: write: ['0x81', '0xff']

Transaction 80: write: ['0x5a', '0x10']

Transaction 81: write: ['0x5b', '0xa1']

Transaction 82: write: ['0x5c', '0x3a']

Transaction 83: write: ['0x5d', '0x20']

Transaction 84: write: ['0xa3', '0x4']

Transaction 85: write: ['0xa4', '0xc']

Transaction 86: write: ['0xa5', '0x23']

Transaction 87: write: ['0xa6', '0x55']

Transaction 88: write: ['0xa7', '0x69']

Transaction 89: write: ['0xa8', '0x78']

Transaction 90: write: ['0xa9', '0x80']

Transaction 91: write: ['0xaa', '0x88']

Transaction 92: write: ['0xab', '0x90']

Transaction 93: write: ['0xac', '0x97']

Transaction 94: write: ['0xad', '0xa4']

